No TMNo EnNo Name      GMNo Mode DateTime            
1  1    1    ernesto   1    0    2025/08/01          08:00:10
2  1    1    ernesto   2    1    2025/08/01          12:00:45
3  1    1    ernesto   1    0    2025/08/01          13:00:20
4  1    1    ernesto   2    1    2025/08/01          17:00:35
5  1    1    ernesto   1    0    2025/08/04          08:20:05
6  1    1    ernesto   2    1    2025/08/04          12:05:30
7  1    1    ernesto   1    0    2025/08/04          13:05:25
8  1    1    ernesto   2    1    2025/08/04          16:50:10
9  1    1    ernesto   1    0    2025/08/05          08:05:15
10 1    1    ernesto   2    1    2025/08/05          12:10:45
11 1    1    ernesto   1    0    2025/08/05          13:10:20
12 1    1    ernesto   2    1    2025/08/05          17:10:55
13 1    1    ernesto   1    0    2025/08/06          08:00:25
14 1    1    ernesto   2    1    2025/08/06          12:05:40
15 1    1    ernesto   1    0    2025/08/06          13:05:15
16 1    1    ernesto   2    1    2025/08/06          17:00:50
17 1    1    ernesto   1    0    2025/08/07          08:10:05
18 1    1    ernesto   2    1    2025/08/07          12:10:30
19 1    1    ernesto   1    0    2025/08/07          13:10:00
20 1    1    ernesto   2    1    2025/08/07          17:10:20
21 1    1    ernesto   1    0    2025/08/08          08:05:35
22 1    1    ernesto   2    1    2025/08/08          12:05:55
23 1    1    ernesto   1    0    2025/08/08          13:05:20
24 1    1    ernesto   2    1    2025/08/08          17:05:45
25 1    1    ernesto   1    0    2025/08/11          08:30:15
26 1    1    ernesto   2    1    2025/08/11          12:00:40
27 1    1    ernesto   1    0    2025/08/11          13:00:25
28 1    1    ernesto   2    1    2025/08/11          16:45:50
29 1    1    ernesto   1    0    2025/08/12          08:05:10
30 1    1    ernesto   2    1    2025/08/12          12:05:35
31 1    1    ernesto   1    0    2025/08/12          13:05:20
32 1    1    ernesto   2    1    2025/08/12          17:05:40
33 1    1    ernesto   1    0    2025/08/13          08:10:15
34 1    1    ernesto   2    1    2025/08/13          12:10:45
35 1    1    ernesto   1    0    2025/08/13          13:10:20
36 1    1    ernesto   2    1    2025/08/13          17:10:55
37 1    1    ernesto   1    0    2025/08/14          08:15:31
38 1    1    ernesto   2    1    2025/08/14          12:15:39
39 1    1    ernesto   1    0    2025/08/14          12:16:31
40 1    1    ernesto   2    1    2025/08/14          17:15:39
41 1    1    ernesto   1    0    2025/08/15          08:05:00
42 1    1    ernesto   2    1    2025/08/15          12:00:30
43 1    1    ernesto   1    0    2025/08/15          13:00:15
44 1    1    ernesto   2    1    2025/08/15          17:05:10
45 1    1    ernesto   1    0    2025/08/18          08:20:10
46 1    1    ernesto   2    1    2025/08/18          12:05:25
47 1    1    ernesto   1    0    2025/08/18          13:00:10
48 1    1    ernesto   2    1    2025/08/18          16:50:45
49  1    2    yator     1    0    2025/08/01          08:10:20
50  1    2    yator     2    1    2025/08/01          12:15:40
51  1    2    yator     1    0    2025/08/01          13:10:30
52  1    2    yator     2    1    2025/08/01          17:05:25
53  1    2    yator     1    0    2025/08/04          08:25:15
