No	TMNo	EnNo	Name	GMNo	Mode	DateTime
1	1	1		0	0	2025/09/01 08:01:55
2	1	1		1	1	2025/09/01 13:25:01
3	1	1		2	0	2025/09/01 13:39:37
4	1	1		3	1	2025/09/01 17:39:37
5	1	2		0	0	2025/09/01 08:20:02
6	1	2		1	1	2025/09/01 12:04:37
7	1	2		2	0	2025/09/01 12:58:40
8	1	2		3	1	2025/09/01 14:58:40
9	1	3		0	0	2025/09/01 07:51:19
10	1	3		1	1	2025/09/01 12:48:17
11	1	3		2	0	2025/09/01 13:30:17
12	1	3		3	1	2025/09/01 16:30:17
13	1	1		0	0	2025/09/02 08:28:59
14	1	1		1	1	2025/09/02 12:04:56
15	1	1		2	0	2025/09/02 13:35:32
16	1	1		3	1	2025/09/02 16:35:32
17	1	2		0	0	2025/09/02 07:53:47
18	1	2		1	1	2025/09/02 12:22:53
19	1	2		2	0	2025/09/02 13:56:04
20	1	2		3	1	2025/09/02 16:56:04
21	1	3		0	0	2025/09/02 08:07:21
22	1	3		1	1	2025/09/02 12:49:21
23	1	3		2	0	2025/09/02 12:50:58
24	1	3		3	1	2025/09/02 15:50:58
25	1	1		0	0	2025/09/03 08:10:43
26	1	1		1	1	2025/09/03 13:02:22
27	1	1		2	0	2025/09/03 13:14:15
28	1	1		3	1	2025/09/03 17:14:15
29	1	2		0	0	2025/09/03 08:08:04
30	1	2		1	1	2025/09/03 12:39:34
31	1	2		2	0	2025/09/03 12:56:37
32	1	2		3	1	2025/09/03 16:56:37
33	1	3		0	0	2025/09/03 08:06:23
34	1	3		1	1	2025/09/03 13:18:17
35	1	3		2	0	2025/09/03 13:58:11
36	1	3		3	1	2025/09/03 15:58:11
37	1	1		0	0	2025/09/04 08:13:19
38	1	1		1	1	2025/09/04 12:42:52
39	1	1		2	0	2025/09/04 12:51:35
40	1	1		3	1	2025/09/04 14:51:35
41	1	2		0	0	2025/09/04 08:05:38
42	1	2		1	1	2025/09/04 13:07:04
43	1	2		2	0	2025/09/04 13:22:24
44	1	2		3	1	2025/09/04 15:22:24
45	1	3		0	0	2025/09/04 08:06:58
46	1	3		1	1	2025/09/04 12:07:13
47	1	3		2	0	2025/09/04 12:43:44
48	1	3		3	1	2025/09/04 15:43:44
49	1	1		0	0	2025/09/05 08:23:15
50	1	1		1	1	2025/09/05 12:02:08
51	1	1		2	0	2025/09/05 12:35:20
52	1	1		3	1	2025/09/05 15:35:20
53	1	2		0	0	2025/09/05 08:14:30
54	1	2		1	1	2025/09/05 13:28:49
55	1	2		2	0	2025/09/05 13:57:35
56	1	2		3	1	2025/09/05 16:57:35
